filename,sequence_id,sequence_length,background,cluster
All_Toxins_complete_v4,Cje5_Novel,113,False,6
All_Toxins_complete_v4,Cje2_Novel,100,False,1
All_Toxins_complete_v4,Cje3_Novel,115,False,1
All_Toxins_complete_v4,Cje4_Novel,78,False,1
All_Toxins_complete_v4,Cje6_Novel,126,False,21
All_Toxins_complete_v4,Cje7_Novel,133,False,21
All_Toxins_complete_v4,Cje8_Novel,88,False,3
All_Toxins_complete_v4,Cje1_22,111,False,1
All_Toxins_complete_v4,Cje2_22,91,False,1
All_Toxins_complete_v4,Cje3_22,99,False,1
All_Toxins_complete_v4,Cje4_22,148,False,22
All_Toxins_complete_v4,Cje5_22,101,False,1
All_Toxins_complete_v4,Cje6_22,92,False,1
All_Toxins_complete_v4,Cje1_6,95,False,1
All_Toxins_complete_v4,Cje2_6,98,False,1
All_Toxins_complete_v4,Cje3_6,97,False,1
All_Toxins_complete_v4,Cje4_6,101,False,1
All_Toxins_complete_v4,Cje1_8,135,False,1
All_Toxins_complete_v4,Cje10_8,142,False,1
All_Toxins_complete_v4,Cje2_8,114,False,6
All_Toxins_complete_v4,Cje3_8,117,False,1
All_Toxins_complete_v4,Cje4_8,113,False,1
All_Toxins_complete_v4,Cje5_8,114,False,6
All_Toxins_complete_v4,Cje6_8,124,False,1
All_Toxins_complete_v4,Cje7_8,127,False,1
All_Toxins_complete_v4,Cje8_8,120,False,1
All_Toxins_complete_v4,Cje9_8,127,False,1
All_Toxins_complete_v4,Cje1_9,87,False,3
All_Toxins_complete_v4,Cje10_9,85,False,8
All_Toxins_complete_v4,Cje2_9,101,False,1
All_Toxins_complete_v4,Cje3_9,84,False,3
All_Toxins_complete_v4,Cje4_9,88,False,8
All_Toxins_complete_v4,Cje5_9,125,False,1
All_Toxins_complete_v4,Cje6_9,146,False,1
All_Toxins_complete_v4,Cje7_9,88,False,3
All_Toxins_complete_v4,Cje8_9,83,False,3
All_Toxins_complete_v4,Cje9_9,100,False,22
All_Toxins_complete_v4,Hal19_Novel,132,False,1
All_Toxins_complete_v4,Hal13_Novel,138,False,1
All_Toxins_complete_v4,Hal11_Novel,145,False,3
All_Toxins_complete_v4,Hal8_Novel,75,False,4
All_Toxins_complete_v4,Hal12_Novel,66,False,2
All_Toxins_complete_v4,Hal10_Novel,78,False,4
All_Toxins_complete_v4,Hal14_Novel,89,False,3
All_Toxins_complete_v4,Hal15_Novel,106,False,1
All_Toxins_complete_v4,Hal16_Novel,80,False,4
All_Toxins_complete_v4,Hal17_Novel,88,False,3
All_Toxins_complete_v4,Hal1_1,62,False,16
All_Toxins_complete_v4,Hal1_11,74,False,4
All_Toxins_complete_v4,Hal1_12,85,False,15
All_Toxins_complete_v4,Hal20_Novel,89,False,4
All_Toxins_complete_v4,Hal2_13,91,False,4
All_Toxins_complete_v4,Hal1_15,77,False,1
All_Toxins_complete_v4,Hal2_15,80,False,1
All_Toxins_complete_v4,Hal3_15,82,False,5
All_Toxins_complete_v4,Hal1_22,131,False,22
All_Toxins_complete_v4,Hal2_22,90,False,13
All_Toxins_complete_v4,Hal3_22,101,False,1
All_Toxins_complete_v4,Hal4_22,90,False,1
All_Toxins_complete_v4,Hal5_22,142,False,1
All_Toxins_complete_v4,Hal6_22,97,False,1
All_Toxins_complete_v4,Hal7_22,97,False,1
All_Toxins_complete_v4,Hal8_22,97,False,1
All_Toxins_complete_v4,Hal9_22,95,False,1
All_Toxins_complete_v4,Hal1_6,70,False,19
All_Toxins_complete_v4,Hal10_6,72,False,15
