filename,sequence_id,sequence_length,background,cluster
ConoToxins,P0C828|K,30,False,24
ConoToxins,Q7YZS9|K,33,False,57
ConoToxins,Q9U3Z3|K,31,False,36
ConoToxins,P69501|K,33,False,57
ConoToxins,P0C252|K,31,False,57
ConoToxins,C7DQB7|K,33,False,57
ConoToxins,Q0N4U5|K,25,False,50
ConoToxins,Q0N4U6|K,25,False,50
ConoToxins,P0CE76|K,37,False,24
ConoToxins,P0C1X1|K,36,False,9
ConoToxins,P0C830|K,34,False,70
ConoToxins,P84704|K,27,False,42
ConoToxins,Q9XZK5|Na,31,False,1
ConoToxins,P18511|Na,27,False,11
ConoToxins,Q9U655|Na,27,False,11
ConoToxins,Q7Z092|Na,46,False,23
ConoToxins,P0C350|Na,22,False,59
ConoToxins,Q7Z094|Na,46,False,23
ConoToxins,Q7Z091|Na,41,False,23
ConoToxins,P58928|Na,30,False,24
ConoToxins,Q7Z0A6|Na,42,False,23
ConoToxins,P0C614|Na,42,False,23
ConoToxins,Q7Z098|Na,45,False,17
ConoToxins,Q7Z093|Na,46,False,23
ConoToxins,Q7Z099|Na,45,False,17
ConoToxins,P0C610|Na,43,False,23
ConoToxins,Q7Z0A4|Na,44,False,23
ConoToxins,Q7Z0A2|Na,42,False,23
ConoToxins,Q7Z0A3|Na,44,False,23
ConoToxins,Q7Z0A0|Na,43,False,23
ConoToxins,P0C611|Na,46,False,23
ConoToxins,Q7Z0A1|Na,42,False,23
ConoToxins,Q7Z097|Na,45,False,17
ConoToxins,P0C1U2|Na,22,False,16
ConoToxins,P0C8V2|Na,22,False,26
ConoToxins,P05482|Na,22,False,22
ConoToxins,P0CE77|Na,20,False,67
ConoToxins,P58926|Na,17,False,35
ConoToxins,B2KJ30|Na,25,False,1
ConoToxins,P0C8V7|Na,30,False,1
ConoToxins,P56710|Na,31,False,54
ConoToxins,P69752|Na,29,False,54
ConoToxins,P0CC13|Na,32,False,54
ConoToxins,P0CC14|Na,32,False,54
ConoToxins,P69754|Na,32,False,1
ConoToxins,P69757|Na,31,False,1
ConoToxins,P69756|Na,32,False,54
ConoToxins,P69751|Na,27,False,1
ConoToxins,I1SB07|Na,22,False,16
ConoToxins,P37300|Ca,26,False,2
ConoToxins,Q9XZK3|Ca,36,False,10
ConoToxins,P28880|Ca,24,False,33
ConoToxins,P56713|Ca,30,False,5
ConoToxins,Q02485|Ca,12,False,8
ConoToxins,Q5K0D8|Ca,36,False,10
ConoToxins,Q9U650|Ca,25,False,11
ConoToxins,Q9XZL0|Ca,24,False,3
ConoToxins,Q9XZL2|Ca,26,False,32
ConoToxins,Q3YEF3|Ca,25,False,11
ConoToxins,Q9XZL5|Ca,24,False,33
ConoToxins,Q9XZL4|Ca,24,False,33
ConoToxins,P0CB11|Ca,24,False,3
ConoToxins,P0C8V9|Ca,36,False,10
ConoToxins,Q5K0D3|Ca,27,False,29
ConoToxins,Q9XZK8|Ca,25,False,11
ConoToxins,P58915|Ca,26,False,13
ConoToxins,Q9BPA5|Ca,28,False,3
ConoToxins,Q9U644|Ca,31,False,6
ConoToxins,Q9U645|Ca,29,False,5
ConoToxins,P0C250|Ca,8,False,15
ConoToxins,Q1L777|Ca,16,False,47
ConoToxins,Q9U648|Ca,24,False,3
ConoToxins,Q5K0D6|Ca,36,False,10
ConoToxins,Q5K0D5|Ca,24,False,33
ConoToxins,Q9XYZ1|Ca,28,False,69
ConoToxins,Q5K0B9|Ca,29,False,3
ConoToxins,Q5K0C0|Ca,30,False,28
ConoToxins,Q9XZK2|Ca,25,False,30
ConoToxins,Q9U651|Ca,25,False,11
ConoToxins,Q9XZL1|Ca,29,False,5
ConoToxins,Q9U654|Ca,26,False,32
ConoToxins,Q9XZK4|Ca,35,False,29
ConoToxins,P0CB10|Ca,26,False,11
ConoToxins,P0C8V8|Ca,25,False,13
ConoToxins,P0C831|Ca,26,False,2
ConoToxins,Q3YED6|Ca,30,False,5
ConoToxins,P0CI41|Ca,13,False,63
ConoToxins,P58917|Ca,25,False,30
ConoToxins,P01522|Ca,27,False,13
ConoToxins,Q9XYZ0|Ca,30,False,4
ConoToxins,P28881|Ca,26,False,30
ConoToxins,P58920|Ca,27,False,2
ConoToxins,Q9XZL3|Ca,32,False,6
ConoToxins,P05484|Ca,25,False,2
ConoToxins,Q5K0C4|Ca,29,False,41
ConoToxins,P0C832|Ca,33,False,29
ConoToxins,P56712|Ca,31,False,61
ConoToxins,P58914|Ca,27,False,39
ConoToxins,P58918|Ca,25,False,13
ConoToxins,P58919|Ca,26,False,2
ConoToxins,P0CY69|Ca,35,False,10
ConoToxins,P0CY60|Ca,25,False,60
ConoToxins,P05483,29,False,5
ConoToxins,P58916|Ca,28,False,2
ConoToxins,Q26350|Ca,25,False,13
ConoToxins,P56714|Ca,26,False,28
ConoToxins,P83301|Ca,33,False,5
ConoToxins,P0CY84|Ca,8,False,20
ConoToxins,Q2I2P3|Ca,8,False,15
ConoToxins,P62903|Ca,11,False,20
ConoToxins,Q9BH84|Ca,28,False,3
ConoToxins,Q9BP99|Ca,33,False,4
ConoToxins,P0C248|Ca,8,False,15
ConoToxins,P0C249|Ca,8,False,55
ConoToxins,P81755|Ca,13,False,34
ConoToxins,P0DKQ3|Ca,25,False,30
ConoToxins,Q5K0D2|Ca,31,False,1
ConoToxins,O00555|Ca,12,False,7
ConoToxins,P27884|Ca,12,False,7
ConoToxins,P54282|Ca,12,False,7
ConoToxins,Q05152|Ca,12,False,7
ConoToxins,O35505|Ca,169,False,18
ConoToxins,O55017|Ca,12,False,7
ConoToxins,Q07652|Ca,12,False,7
ConoToxins,Q9JIS7|Ca,12,False,8
ConoToxins,O42398|Ca,281,False,18
ConoToxins,P22316|Ca,12,False,40
ConoToxins,P07293|Ca,12,False,8
ConoToxins,P0C8D9|Ca,24,False,12
ConoToxins,P0C8E1|Ca,19,False,26
